series_id,description,units
PET.I000000202.M,U.S. Percent Total Imported by API Gravity of Crude Gravity 20.0 percent or less,%
PET.I000000252.M,U.S. Percent Total Imported by API Gravity of Crude Gravity 20.1 to 25.0 percent,%
PET.I000000302.M,U.S. Percent Total Imported by API Gravity of Crude Gravity 25.1 to 30.0 percent,%
PET.I000000352.M,U.S. Percent Total Imported by API Gravity of Crude Gravity 30.1 to 35.0 percent,%
PET.I000000402.M,U.S. Percent Total Imported by API Gravity of Crude Gravity 35.1 to 40.0 percent,%
PET.I000000452.M,U.S. Percent Total Imported by API Gravity of Crude Gravity 40.1 to 45.0%,%
PET.I000000992.M,U.S. Percent Total Imported by API Gravity of Crude Gravity 45.1% or more,%
PET.MANFPAK1.M,Alaska North Slope Crude Oil Production,Mbbl
PET.MANFPAK2.M,Alaska North Slope Crude Oil Production,Mbbl/d
PET.MCRAP2A2.M,"Indiana, Illinois, Kentucky Refinery District API Gravity (Weighted Average) of Crude Oil Input to Refineries",D
PET.MCRAP2B2.M,"Minnesota, Wisconsin, North and South Dakota Refinery District API Gravity (Weighted Average) of Crude Oil Input to Refineries",D
PET.MCRAP2C2.M,"Oklahoma, Kansas, Missouri Refinery District API Gravity (Weighted Average) of Crude Oil Input to Refineries",D
PET.MCRAP3A2.M,Texas Inland Refinery District API Gravity (Weighted Average) of Crude Oil Input to Refineries,D
PET.MCRAP3B2.M,Texas Gulf Coast Refinery District API Gravity (Weighted Average) of Crude Oil Input to Refineries,D
PET.MCRAP3C2.M,Louisiana Gulf Coast Refinery District API Gravity (Weighted Average) of Crude Oil Input to Refineries,D
PET.MCRAP3D2.M,"North Louisiana, Arkansas Refinery District API Gravity (Weighted Average) of Crude Oil Input to Refineries",D
PET.MCRAP3E2.M,New Mexico Refinery District API Gravity (Weighted Average) of Crude Oil Input to Refineries,D
PET.MCRAPAP2.M,Appalachian No. 1 Refinery District API Gravity (Weighted Average) of Crude Oil Input to Refineries (Degrees),D
PET.MCRAPEC2.M,East Coast Refinery District API Gravity (Weighted Average) of Crude Oil Input to Refineries,D
PET.MCRAPP12.M,East Coast (PADD 1) API Gravity (Weighted Average) of Crude Oil Input to Refineries,D
PET.MCRAPP22.M,Midwest (PADD 2) API Gravity (Weighted Average) of Crude Oil Input to Refineries,D
PET.MCRAPP32.M,Gulf Coast (PADD 3) API Gravity (Weighted Average) of Crude Oil Input to Refineries,D
PET.MCRAPP42.M,Rocky Mountains (PADD 4) API Gravity (Weighted Average) of Crude Oil Input to Refineries,D
PET.MCRAPP52.M,West Coast (PADD 5) API Gravity (Weighted Average) of Crude Oil Input to Refineries,D
PET.MCRAPUS2.M,U.S. API Gravity (Weighted Average) of Crude Oil Input to Refineries,D
PET.MCREXCA1.M,U.S. Exports to Canada of Crude Oil,Mbbl
PET.MCREXCH1.M,U.S. Exports to China of Crude Oil,Mbbl
PET.MCREXHK1.M,U.S. Exports to Hong Kong of Crude Oil,Mbbl
PET.MCREXJA1.M,U.S. Exports to Japan of Crude Oil,Mbbl
PET.MCREXKS1.M,U.S. Exports to Korea of Crude Oil,Mbbl
PET.MCREXMX1.M,U.S. Exports to Mexico of Crude Oil,Mbbl
PET.MCREXP11.M,East Coast (PADD 1) Exports of Crude Oil,Mbbl
PET.MCREXP21.M,Midwest (PADD 2) Exports of Crude Oil,Mbbl
PET.MCREXP31.M,Gulf Coast (PADD 3) Exports of Crude Oil,Mbbl
PET.MCREXP41.M,Rocky Mountain (PADD 4) Exports of Crude Oil,Mbbl
PET.MCREXP51.M,West Coast (PADD 5) Exports of Crude Oil,Mbbl
PET.MCREXTW1.M,U.S. Exports to Taiwan of Crude Oil,Mbbl
PET.MCREXUS1.M,U.S. Exports of Crude Oil,Mbbl
PET.MCREXVQ1.M,U.S. Exports to Virgin Islands of Crude Oil,Mbbl
PET.MCREX_NUS-NAR_1.M,U.S. Exports to Argentina of Crude Oil,Mbbl
PET.MCREX_NUS-NBF_1.M,U.S. Exports to Bahama Islands of Crude Oil,Mbbl
PET.MCREX_NUS-NDA_1.M,U.S. Exports to Denmark of Crude Oil,Mbbl
PET.MCREX_NUS-NDR_1.M,U.S. Exports to Dominican Republic of Crude Oil,Mbbl
PET.MCREX_NUS-NFR_1.M,U.S. Exports to France of Crude Oil,Mbbl
PET.MCREX_NUS-NGG_1.M,U.S. Exports to Georgia of Crude Oil,Mbbl
PET.MCREX_NUS-NGI_1.M,U.S. Exports to Gibraltar of Crude Oil,Mbbl
PET.MCREX_NUS-NGM_1.M,U.S. Exports to Germany of Crude Oil,Mbbl
PET.MCREX_NUS-NIN_1.M,U.S. Exports to India of Crude Oil,Mbbl
PET.MCREX_NUS-NIS_1.M,U.S. Exports to Israel of Crude Oil,Mbbl
PET.MCREX_NUS-NIT_1.M,U.S. Exports to Italy of Crude Oil,Mbbl
PET.MCREX_NUS-NNL_1.M,U.S. Exports to Netherlands of Crude Oil,Mbbl
PET.MCREX_NUS-NNU_1.M,U.S. Exports to Nicaragua of Crude Oil,Mbbl
PET.MCREX_NUS-NPE_1.M,U.S. Exports to Peru of Crude Oil,Mbbl
PET.MCREX_NUS-NPM_1.M,U.S. Exports to Panama of Crude Oil,Mbbl
PET.MCREX_NUS-NRM_1.M,U.S. Exports to Marshall Islands of Crude Oil,Mbbl
PET.MCREX_NUS-NSN_1.M,U.S. Exports to Singapore of Crude Oil,Mbbl
PET.MCREX_NUS-NSP_1.M,U.S. Exports to Spain of Crude Oil,Mbbl
PET.MCREX_NUS-NSZ_1.M,U.S. Exports to Switzerland of Crude Oil,Mbbl
PET.MCREX_NUS-NTH_1.M,U.S. Exports to Thailand of Crude Oil,Mbbl
PET.MCREX_NUS-NUC_1.M,U.S. Exports to Curacao of Crude Oil,Mbbl
PET.MCREX_NUS-NUK_1.M,U.S. Exports to United Kingdom of Crude Oil,Mbbl
PET.MCRFP3FM1.M,Federal Offshore--Gulf of Mexico Field Production of Crude Oil,Mbbl
PET.MCRFP5F1.M,Federal Offshore PADD 5 Field Production of Crude Oil,Mbbl
PET.MCRFPAK1.M,Alaska Field Production of Crude Oil,Mbbl
PET.MCRFPAKS1.M,Alaska South Field Production of Crude Oil,Mbbl
PET.MCRFPAKS2.M,Alaska South Field Production of Crude Oil,Mbbl/d
PET.MCRFPAL1.M,Alabama Field Production of Crude Oil,Mbbl
PET.MCRFPAR1.M,Arkansas Field Production of Crude Oil,Mbbl
PET.MCRFPAZ1.M,Arizona Field Production of Crude Oil,Mbbl
PET.MCRFPCA1.M,California Field Production of Crude Oil,Mbbl
